text,category
"The air conditioning is not working in my room",MAINTENANCE
"AC unit is making a loud noise",MAINTENANCE
"The heater is broken",MAINTENANCE
"There is no hot water in the bathroom",MAINTENANCE
"The shower is leaking",MAINTENANCE
"The toilet is clogged",MAINTENANCE
"Light bulb in the bedroom is burnt out",MAINTENANCE
"The TV remote is not working",MAINTENANCE
"Power outlet near the desk is broken",MAINTENANCE
"The sink faucet is dripping",MAINTENANCE
"Window won't close properly",MAINTENANCE
"The door lock is jammed",MAINTENANCE
"There is a strange smell coming from the AC",MAINTENANCE
"The minibar is not cooling",MAINTENANCE
"The bathroom fan is not working",MAINTENANCE
"The safe in the room is malfunctioning",MAINTENANCE
"Elevator is out of service on the 3rd floor",MAINTENANCE
"The radiator is not heating the room",MAINTENANCE
"My room key card is not reading the lock",MAINTENANCE
"The ceiling is leaking water",MAINTENANCE
"The phone in the room has no dial tone",MAINTENANCE
"There is a power outage in my room",MAINTENANCE
"The bathtub drain is very slow",MAINTENANCE
"The smoke detector keeps beeping",MAINTENANCE
"Hot water takes too long to come",MAINTENANCE
"The Wi-Fi router in my room is blinking red",MAINTENANCE
"The balcony door is difficult to open",MAINTENANCE
"My room thermostat is not responding",MAINTENANCE
"The electrical socket is sparking",MAINTENANCE
"The bathroom mirror light is flickering",MAINTENANCE
"The closet door is broken",MAINTENANCE
"The air vent is blocked",MAINTENANCE
"The carpet is wet near the window",MAINTENANCE
"Plumbing issue in room 302",MAINTENANCE
"The desk lamp doesn't turn on",MAINTENANCE
"The iron provided in the room is broken",MAINTENANCE
"The hairdryer stopped working mid-use",MAINTENANCE
"There is a crack in the bathroom tile",MAINTENANCE
"The blinds are broken and won't go up",MAINTENANCE
"Water pressure in the shower is very low",MAINTENANCE
"The exhaust fan in the bathroom is very noisy",MAINTENANCE
"The flush mechanism is broken",MAINTENANCE
"There's an electrical problem with the lights",MAINTENANCE
"La climatisation ne fonctionne pas",MAINTENANCE
"Le robinet de la salle de bain fuit",MAINTENANCE
"Il n'y a pas d'eau chaude",MAINTENANCE
"La lumière de la chambre ne s'allume plus",MAINTENANCE
"Le chauffage est en panne",MAINTENANCE
"La serrure de la porte est bloquée",MAINTENANCE
"La télévision ne s'allume pas",MAINTENANCE
"Le coffre-fort ne fonctionne plus",MAINTENANCE
"L'ascenseur est en panne",MAINTENANCE
"La chasse d'eau est cassée",MAINTENANCE
"The AC keeps turning off by itself",MAINTENANCE
"I hear a buzzing sound from the wall",MAINTENANCE
"The showerhead is broken",MAINTENANCE
"The fridge in the room is not working",MAINTENANCE
"There is a water stain on the ceiling",MAINTENANCE
"The bathroom door handle is loose",MAINTENANCE
"I can't adjust the room temperature",MAINTENANCE
"The light switch in the hallway doesn't work",MAINTENANCE
"The window blind cord is broken",MAINTENANCE
"The electrical kettle is not working",MAINTENANCE
"There is no power in the bathroom outlets",MAINTENANCE
"The plumbing in the bathroom needs fixing",MAINTENANCE
"The door hinge is squeaking loudly",MAINTENANCE
"The AC filter needs to be cleaned",MAINTENANCE
"There is water leaking from under the sink",MAINTENANCE
"The light in the corridor near my room is out",MAINTENANCE
"The room heater makes a clicking sound",MAINTENANCE
"The USB charging port on the nightstand is broken",MAINTENANCE
"The bathroom extractor fan doesn't work",MAINTENANCE
"The TV screen is cracked",MAINTENANCE
"The AC remote control is not responding",MAINTENANCE
"There is a water leak in the ceiling",MAINTENANCE
"The toilet won't flush properly",MAINTENANCE
"The electricity keeps tripping in my room",MAINTENANCE
"The hot water is not working at all",MAINTENANCE
"The shower head needs to be replaced",MAINTENANCE
"The door lock mechanism is faulty",MAINTENANCE
"The light fixture is hanging loose from the ceiling",MAINTENANCE
"The Wi-Fi connection keeps dropping",MAINTENANCE
"The safe box is jammed and won't open",MAINTENANCE
"The fridge is making a very loud humming noise",MAINTENANCE
"There is a broken pipe under the bathroom sink",MAINTENANCE
"The AC is blowing warm air instead of cold",MAINTENANCE
"The TV has no signal",MAINTENANCE
"The electrical wiring seems exposed near the bed",MAINTENANCE
"The shower door is off its track",MAINTENANCE
"The thermostat display is blank",MAINTENANCE
"The ceiling fan wobbles dangerously",MAINTENANCE
"La prise électrique ne fonctionne pas",MAINTENANCE
"La douche fuit au niveau du joint",MAINTENANCE
"Le système de climatisation fait un bruit étrange",MAINTENANCE
"La porte du balcon ne ferme plus correctement",MAINTENANCE
"Le téléviseur affiche un écran noir",MAINTENANCE
"Le Wi-Fi ne fonctionne pas dans ma chambre",MAINTENANCE
"Le réfrigérateur ne refroidit plus",MAINTENANCE
"Il y a une fuite d'eau dans la salle de bain",MAINTENANCE
"La lampe de chevet ne s'allume pas",MAINTENANCE
"Le détecteur de fumée sonne sans raison",MAINTENANCE
"Room needs extra towels please",HOUSEKEEPING
"The bed sheets have not been changed",HOUSEKEEPING
"Please clean my room",HOUSEKEEPING
"I need more pillows",HOUSEKEEPING
"The room has not been cleaned today",HOUSEKEEPING
"There are stains on the bedsheets",HOUSEKEEPING
"Please provide extra blankets",HOUSEKEEPING
"The bathroom needs cleaning",HOUSEKEEPING
"There is dust on the furniture",HOUSEKEEPING
"I found hair in the bathtub",HOUSEKEEPING
"The trash bin has not been emptied",HOUSEKEEPING
"Need fresh towels delivered to my room",HOUSEKEEPING
"The floor is dirty",HOUSEKEEPING
"Please replace the bed linens",HOUSEKEEPING
"The minibar needs restocking",HOUSEKEEPING
"There are no toiletries in the bathroom",HOUSEKEEPING
"I need extra hangers in the closet",HOUSEKEEPING
"The room smells bad please clean it",HOUSEKEEPING
"There is a stain on the carpet",HOUSEKEEPING
"Please bring more toilet paper",HOUSEKEEPING
"The mirror in the bathroom is dirty",HOUSEKEEPING
